level_0	index	TABKEY	CLASS	MANUF	MODEL	GROUP	SERIES	DEVTYPE	DESCRIPTION	CATEGORY
1830	1830	11436	PRG	questback	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1831	1831	189	PRG	ENTDB	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
1832	1832	52	PRG	Actuate	BI-SOFTWARE	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
1833	1833	10876	PRG	Oracle	Cust Hub	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
1834	1834	8726	RTR	Cisco	ONS15454	ROUTER	ROUTER		ROUTER	
1836	1836	630	PRG	Microsoft	Visio	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1837	1837	5303	PRG	PTC	Windchill	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
1838	1838	3711800	PRG	BORLAND	DELPHI	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1840	1840	4735	PRG	Adobe	InDesign	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1842	1842	3427	PRG	New Relic	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1843	1843	11076	PRG	SiteSpect	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
1845	1845	5252	PRG	EMC	Unisphere	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
1847	1847	11487	PRG	HireVue	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
1850	1850	300	PRG	zoho	ManageEngine	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1851	1851	9140	RTR	Cisco	CiscoView	ROUTER	ROUTER		ROUTER	
1852	1852	11303	PRG	Recurly	COMM-SWFTWR	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
1853	1853	90933600	AUX	NETAPP	SAN	SAN	SAN	SAN	STORAGE AREA NETWORK	
1854	1854	567	PRG	BMC	Remedy ARS	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
1856	1856	11695	PRG	Percona	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
1857	1857	5215	PRG	Software-ag	CentraSite	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
1859	1859	757	PRG	Salesforce	Radian6	SOCIAL-MGT	ENTERPRISE-A	SYSTEM	SOCIAL MEDIA SYSTEMS	
1862	1862	4603	PRG	PegaSys	Pega BPM	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
1865	1865	11379	PRG	mediaFORGE	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
1866	1866	862700	CPU	HP	SERVER	UNSPEC-SVR	SERVER	UNSPEC	SERVER	
1867	1867	90303000	PRT	MINOLTA	COPIER	COPIER	COPIER	COPIER	OFFICE COPIER	
1868	1868	10855	PRG	Troux	ENTPRISE-MGT	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
1869	1869	90311900	PRG	ACCPAC	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
1871	1871	683	VIP	Avaya	Gateways	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
1872	1872	12405	PRG	HP	ServiceGuard	DATA-CENTER	ENTERPRISE-A	APPL	DISASTER RECOVERY	
1873	1873	11411	PRG	Catchpoint	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
1875	1875	184	PRG	Ektron	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
1876	1876	9434	PRG	Kognitio	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
1877	1877	5087	PRG	Sybase	IQ	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
1878	1878	8448	PRG	Act-On Soft	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
1879	1879	9431	PRG	Hortonworks	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
1880	1880	7281	PRG	Microsoft	VsSourceSafe	SOFT-CONFIG	APPL-MGMT	SYSTEM	SOFTWARE CONFIGURATION MGMT	
1881	1881	9182	PRG	X-Cart	COMM-SWFTWR	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
1882	1882	12519	PRG	Jenkins	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1884	1884	10481	PRG	AppSense	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
1891	1891	8847	PRG	Oracle	WebLogic	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
1896	1896	360	PRG	Sage	Peachtree	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
1901	1901	11108	PRG	PCrecruiter	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
1903	1903	3542	RTR	F5-NETWORKS	F5LTM	ROUTER	ROUTER		ROUTER	
1905	1905	4138800	PRG	MICROSOFT	EXCHANGE	GROUPWARE	OFFICE	APPL	GROUPWARE SOFTWARE	
1906	1906	2760100	PRT	BROTHER	PRINTER	PRINTER	PRINTER	UNSPEC	PRINTER	
1908	1908	8980	PRG	Paylocity	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
1909	1909	11147	PRG	AppNeta	NET-MGMT-SW	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
1910	1910	10627	PRG	Parasoft	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1915	1915	11735	VIP	IBM	IBM VTAM	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
1916	1916	1288	PRG	Amazon	RDS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
1917	1917	7256	PRG	CloudBees	PAAS	PAAS	CLOUD-CMPTNG	APPL	PLATFORM AS A SERVICE	
1918	1918	417	PRG	Selligent	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
1919	1919	11761	AUX	Tegile	NAS-SYSTEM	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
1920	1920	4714	PRG	Red-Hat	ENTVrtl	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
1921	1921	4864	PRG	NatInstrmnt	LabVIEW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1922	1922	4756	PRG	NetSuite	SuiteScript	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1923	1923	11389	PRG	TubeMogul	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
1924	1924	11176	PRG	ToonBoom	Harmony	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1925	1925	5070200	PRG	MICROSOFT	INTERDEV	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1927	1927	4866	PRG	Paradigm	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1929	1929	11698	PRG	OmniGroup	OmniGraffle	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1931	1931	957	PRG	Oracle	Teleservice	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
1932	1932	90763500	PRG	IBM	ASSET-MGMT	ASSET-MGMT	SYSTEMS-MGMT	SYSTEM	ASSET MANAGEMENT	
1933	1933	8771	PRG	Siebel	SiebelUCM	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
1934	1934	11988	PRG	BuddyPress	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
1935	1935	734	PRG	VMware	Workstation	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
1937	1937	7250	PRG	Red-Hat	OpenShift	PAAS	CLOUD-CMPTNG	APPL	PLATFORM AS A SERVICE	
1938	1938	489	PRG	Cisco	Cisco WebEx	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
1940	1940	11017	PRG	Oracle	Argus Safety	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1942	1942	6372100	PRG	MICROSOFT	BI	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
1943	1943	7073	PRG	PTC	Arbortext	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1944	1944	9180	PRG	FINFORCE	FINFORCE	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
1945	1945	10569	PRG	IBM	StrlgGentran	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
1947	1947	11135	PRG	Resumator	HR-SOFTWARE	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
1948	1948	5187	PRG	Tibco	Tibco Hawk	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
1949	1949	6936	PRG	IBM	OMEGAMON	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
1950	1950	531	PRG	Citrix	XenDesktop	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
1951	1951	7313	PRG	Microsoft	SysCentOpMgr	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
1952	1952	11418	PRG	Clicktale	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1954	1954	12687	PRG	Moodle	EDUCATION-SW	EDUCATION	IND-SPECIFIC	APPL	ACADEMIC & EDUCATION MANAGEM	
1956	1956	11014	RTR	Mellanox	ROUTER	ROUTER	ROUTER		ROUTER	
1958	1958	11431	PRG	nextopia	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1959	1959	1247	PRG	Autodesk	3ds Max	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1960	1960	931	PRG	Oracle	Oracle CRM	SAAS-CRM	CLOUD-CMPTNG	APPL	CRM AS A SERVICE	
1961	1961	90306300	PRG	ADP	HR	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
1962	1962	5095	PRG	Salesforce	Force.com	PAAS	CLOUD-CMPTNG	APPL	PLATFORM AS A SERVICE	
1963	1963	759	PRG	Oracle	PS ELM	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1965	1965	8859	PRG	Planisware	PRJCT-MGT-SW	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
1967	1967	5027	PRG	SAP	PROCUREMENT	PROCUREMENT	ENTPRISE-APP	APPL	PROCUREMENT	
1969	1969	522	PRG	Citrix	GoToMeeting	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
1971	1971	7308	PRG	Compuware	dynaTrace	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
1972	1972	4991	PRG	Sage	Sage Accpac	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
1973	1973	11178	PRG	Pixologic	ZBrush	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1974	1974	7403	PRG	Acxiom	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
1976	1976	8426	OPR	OpenSource	RProject	OS	OS		OPERATING SYSTEM	
1979	1979	11395	PRG	Gigya	SAAS-CRM	SAAS-CRM	CLOUD-CMPTNG	APPL	CRM AS A SERVICE	
1980	1980	11421	PRG	Elstcsearch	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1981	1981	9091	PRG	Basho	Basho Riak	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
1982	1982	90965500	HOS	GOOGLE	ANDROID	HANDSET-OS	HANDSET-OS		HANDSET OPERATING SYSTEM	
1984	1984	196	PRG	ESRI	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1985	1985	1321	PRG	Silverpop	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
1986	1986	773	PRG	Oracle	Data Whseing	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
1988	1988	6525	PRG	Informatica	MstrDataMgmt	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
1989	1989	1016	PRG	Kaltura	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
1990	1990	1356	PRG	limelight	LimelightCDN	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
1991	1991	628	PRG	Microsoft	PowerPoint	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
1992	1992	6977	UCS	Avaya	UnifdMsging	UNIFIED-COMM	UNIFIED-COMM		UNIFIED COMMUNICATIONS SRVS	
1993	1993	4675	PRG	Oracle	Taleo Bus Ed	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
1997	1997	12400	CPU	Dell	Wyse	WYSE	WYSE	INTEL	SERVER	
1999	1999	8773	PRG	SAS	SAS DataFlux	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2000	2000	90790200	PRG	SAP	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
2001	2001	10586	OPR	Oracle	NetBeans	OS	OS		OPERATING SYSTEM	
2002	2002	1214	PRG	Borland	BorlandSilk	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
2005	2005	1178	PRG	MongoDB	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2006	2006	12419	PRG	SAP	SAP Fiori	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2007	2007	3824400	PRG	COMPILER	PERL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2010	2010	1306	OPR	IBM	z-VM	OS	OS		OPERATING SYSTEM	
2011	2011	967	PRG	Oracle	Campus Slns	EDUCATION	IND-SPECIFIC	APPL	ACADEMIC & EDUCATION MANAGEM	
2012	2012	4803	PBX	Nortel	Meridian	PHONE-SYS	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
2015	2015	4135100	PRG	MICROSOFT	ACCESS	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2017	2017	10595	PRG	Veracode	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2019	2019	5201	PRG	Blackboard	Collaborate	EDUCATION	IND-SPECIFIC	APPL	ACADEMIC & EDUCATION MANAGEM	
2020	2020	741	PRG	VMware	vCloud	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
2021	2021	11257	PRG	Viddler	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2023	2023	90797500	PRG	PEOPLESOFT	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
2024	2024	739	PRG	VMware	DPM	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2025	2025	90227600	CPC	INTEL	DESKTOP	DESKTOP	PC	DESKTOP	PERSONAL DESKTOP COMPUTER	
2026	2026	8881	PRG	GoodData	BI-SOFTWARE	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2027	2027	3294800	OPR	MICROSOFT	WIN/NT	WINDOWS/NT	WINDOWS		OPERATING SYSTEM	
2030	2030	803	PRG	AVG	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2031	2031	8459	PRG	Demandware	COMM-SWFTWR	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
2032	2032	11732	PRG	IntApp	LEGAL-SRV-SW	LEGAL-SRV	IND-SPECIFIC	APPL	LEGAL & PROFESSIONAL SERVICE	
2033	2033	864	PRG	HP	AppLcMgnt	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2034	2034	1184	PRG	Infor	EAM	ASSET-MGMT	SYSTEMS-MGMT	SYSTEM	ASSET MANAGEMENT	
2035	2035	10807	PRG	Eventbrite	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
2036	2036	854	PRG	EMC	VPLEX	PAAS	CLOUD-CMPTNG	APPL	PLATFORM AS A SERVICE	
2039	2039	9092	PRG	Neo4j	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2041	2041	4862	PRG	MSC	PATRAN	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2042	2042	90712900	PRT	VUTEK	PRINTER	PRINTER	PRINTER	UNSPEC	PRINTER	
2043	2043	879	PRG	HP	QualCntr	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2044	2044	4656	AUX	HP	EVA	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
2045	2045	11399	PRG	Outbrain	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
2046	2046	1065	PRG	Microsoft	Dynamics AX	ERP-UNSPEC	ENTPRISE-APP	APPL	UNSPECIFIED ERP MODULE	
2047	2047	124	PRG	Canto Inc	CantoCumulus	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
2051	2051	6325	RTR	BLUE-COAT	ProxySG	ROUTER	ROUTER		ROUTER	
2054	2054	90790100	PRG	SAGE	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
2055	2055	6969	PRG	Dassault	ENOVIA	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2056	2056	9078	PRG	Oracle	Crystal Ball	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
2057	2057	4980	PRG	PlineDeals	SAAS-CRM	SAAS-CRM	CLOUD-CMPTNG	APPL	CRM AS A SERVICE	
2061	2061	11776	PRG	IBM	RatFuncTestr	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2064	2064	11660	PRG	Vizrt	MEDIA-SW	MEDIA	IND-SPECIFIC	APPL	MEDIA	
2066	2066	4912	CPC	HP	DESKTOP-PC	DESKTOP	PC	DESKTOP	PERSONAL PORTABLE COMPUTER	
2068	2068	2974000	PRT	LEXMARK	PRINTER	PRINTER	PRINTER	UNSPEC	PRINTER	
2069	2069	8844	VIP	Telesoft	VOIP	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
2070	2070	5219	PRG	MobileIron	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
2071	2071	4823	PRG	Autodesk	MotionBuildr	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
2075	2075	10813	PRG	Amazon	Redshift	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
2076	2076	549	PRG	HP	LoadRunner	TEST-DEBUG	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2078	2078	48	PRG	NICESys	Actimize	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
2079	2079	6370	PRG	Hitachi	Command	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
2081	2081	386	PRG	Qualtrics	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
